Sales Representative (Account Manager),Shatin Area,https://hk.jobsdb.com/hk/en/job/sales-representative-100003006011529,Degree,Middle level,Salary provided
Product Marketing Specialist (Supplier Marketing),Shatin Area,https://hk.jobsdb.com/hk/en/job/product-marketing-specialist-100003006011528,Degree,null,Salary provided
"Manager, Product Marketing (Power)",Shatin Area,https://hk.jobsdb.com/hk/en/job/manager-product-marketing-100003006011523,Degree,null,Salary provided
Customer Service Officer (1-year contract),Shatin Area,https://hk.jobsdb.com/hk/en/job/customer-service-officer-100003006011522,null,null,Salary provided
Part Time Sales Associate,Admiralty,https://hk.jobsdb.com/hk/en/job/part-time-sales-associate-100003006011518,null,null,Salary provided
Financial Consultant (Fresh Graduate Welcome),Location not specified,https://hk.jobsdb.com/hk/en/job/financial-consultant-100003006011513,Degree,Entry Level,"HK$14,000 - 35,000 /month"
理財顧問 / 副理財策劃經理 (IANG Welcome 欢迎非本地在港的毕业生）,Location not specified,https://hk.jobsdb.com/hk/en/job/%e7%90%86%e8%b2%a1%e9%a1%a7%e5%95%8f-%e5%89%af%e7%90%86%e8%b2%a1%e7%ad%96%e5%8a%83%e7%b6%93%e7%90%86-100003006011511,Degree,Entry Level,"HK$14,000 - 35,000 /month"
Operation and Back Office Officer,Tin Hau,https://hk.jobsdb.com/hk/en/job/operation-and-back-office-officer-100003006011503,Degree,Full Time,Salary provided
Customer Service Officer,Tin Hau,https://hk.jobsdb.com/hk/en/job/customer-service-officer-100003006011502,null,Full Time,Salary negotiable
Sales Officer,Tin Hau,https://hk.jobsdb.com/hk/en/job/sales-officer-100003006011500,Non-Degree Tertiary,Full Time,Salary provided
Institutional Sales Manager / Associate (eFX),Tin Hau,https://hk.jobsdb.com/hk/en/job/institutional-sales-manager-associate-100003006011499,null,Full Time,Salary provided
Relationship Manager,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/relationship-manager-100003006011497,Non-Degree Tertiary,Middle level,Salary provided
Business Development Specialist,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/business-development-specialist-100003006011496,School Certificate,Entry Level,Salary negotiable
