Accounts Clerk,Kwun Tong Area,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006008398,Matriculated,Salary negotiable
Financial Analyst,Lai Chi Kok,https://hk.jobsdb.com/hk/en/job/financial-analyst-100003006008182,Degree,Salary negotiable
Management Trainee,Lai Chi Kok,https://hk.jobsdb.com/hk/en/job/management-trainee-100003006008058,Degree,Salary negotiable
ACCOUNTING SUPERVISOR,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/accounting-supervisor-100003006007734,Degree,Salary negotiable
Financial Analyst,Airport Area,https://hk.jobsdb.com/hk/en/job/financial-analyst-100003006007690,Degree,Salary provided
Accountant,Airport Area,https://hk.jobsdb.com/hk/en/job/accountant-100003006007691,Degree,Salary provided
Assistant Operational Risk Manager,Central & Western Area,https://hk.jobsdb.com/hk/en/job/assistant-operational-risk-manager-100003006007307,Degree,Salary provided
Assistant Accounting Manager,North Point,https://hk.jobsdb.com/hk/en/job/assistant-accounting-manager-100003006007456,Degree,Salary negotiable
ACCOUNTANT,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/accountant-100003006007082,Degree,null
CLERK (5-DAY WORK),Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/clerk-100003006006934,School Certificate,null
Accounts Clerk,Causeway Bay,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006006893,Matriculated,Salary negotiable
"Accounting Assistant, Financial Planning",Ngau Tau Kok,https://hk.jobsdb.com/hk/en/job/accounting-assistant-financial-planning-100003006006341,Degree,Salary provided
Accountant cum HR Officer,Wan Chai,https://hk.jobsdb.com/hk/en/job/accountant-cum-hr-officer-100003006006423,Degree,Salary provided
Senior Accountant,Ngau Tau Kok,https://hk.jobsdb.com/hk/en/job/senior-accountant-100003006006323,Degree,Salary negotiable
COMPANY SECRETARIAL & ADMIN. CLERK/ACCOUNTS CLERK,Wan Chai,https://hk.jobsdb.com/hk/en/job/company-secretarial-admin-clerk-accounts-clerk-100003006005959,School Certificate,Salary negotiable
